term,name,district,party,counties,image_link,senator_link,speaker
2020 - 2022,"Alexander, Ramon",8,Democrat,Gadsden and part of  Leon,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4640.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4640&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Aloupis, Jr., Vance Arthur",115,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4713.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4713&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Altman, Thad",52,Republican,Part of Brevard,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4329.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4329&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Andrade, Robert Alexander ""Alex""",2,Republican,"Parts of Escambia, Santa Rosa",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4710.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4710&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Arrington, Kristen Aston",43,Democrat,Part of Osceola,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4774.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4774&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Avila, Bryan",111,Republican,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4615.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4615&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Barnaby, Webster",27,Republican,Part of Volusia,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4770.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4770&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Bartleman, Robin",104,Democrat,Part of Broward,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4793.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4793&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Bell, Melony M.",56,Republican,"DeSoto, Hardee and part of Polk",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4753.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4753&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Beltran, Mike",57,Republican,Part of Hillsborough,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4747.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4747&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Benjamin, Christopher",107,Democrat,Part of Miami-Dade,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4795.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4795&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Borrero, David",105,Republican,"Parts of Broward, Collier, Miami-Dade",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4794.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4794&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Botana, Adam",76,Republican,Part of Lee,https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4782.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4782&LegislativeTermId=89,Speaker Sprowls
2020 - 2022,"Brannan III, Robert Charles ""Chuck""",10,Republican,"Baker, Columbia, Hamilton, Suwannee and part of Alachua",https://www.myfloridahouse.gov/FileStores/Web/Imaging/Member/4708.jpg,https://www.myfloridahouse.gov/Sections/Representatives/details.aspx?MemberId=4708&LegislativeTermId=89,Speaker Sprowls
