term,name,district,party,counties,image_link,senator_link,position,resigned,died_in_office,elected
2020-2022,"Albritton, Ben",26,Republican,"Consists of DeSoto, Glades, Hardee, Highlands, Okeechobee counties and parts of Charlotte, Lee, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S26_5342_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S26,,,,
2020-2022,"Ausley, Loranne",3,Democrat,"Consists of Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S03_4663_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S3,,,,
2020-2022,"Baxley, Dennis",12,Republican,"Consists of Sumter county and parts of Lake, Marion counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S12_5192_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S12,,,,
2020-2022,"Bean, Aaron ",4,Republican,Consists of Nassau county and part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S04_5094_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S4,President Pro Tempore,,,
2020-2022,"Berman, Lori",31,Democrat,Consists of part of Palm Beach county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S31_5339_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S31,,,,
2020-2022,"Book, Lauren ",32,Democrat,Consists of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S32_5189_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S32,Minority (Democratic) Leader,,,
2020-2022,"Boyd, Jim",21,Republican,Consists of Manatee county and part of Hillsborough county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S21_5070_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S21,,,,
2020-2022,"Bracy, Randolph",11,Democrat,"Consists of parts of Citrus, Hernando, Lake, Marion, Orange, Pasco, Pinellas, Sumter counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S11_5193_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S11,,,,
2020-2022,"Bradley, Jennifer",5,Republican,"Consists of Baker, Bradford, Clay, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union counties and part of Marion county",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S05_5476_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S5,,,,
2020-2022,"Brandes, Jeff",24,Republican,Consists of part of Pinellas county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S24_5095_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S24,,,,
2020-2022,"Brodeur, Jason",9,Republican,Consists of Seminole county and part of Volusia county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S09_5077_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S9,,,,
2020-2022,"Broxson, Doug",1,Republican,"Consists of Escambia, Santa Rosa counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S01_5194_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S1,,,,
2020-2022,"Burgess, Danny",20,Republican,"Consists of parts of Hillsborough, Pasco, Polk counties",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S20_5169_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S20,,,,
2020-2022,"Cruz, Janet",18,Democrat,Consists of part of Hillsborough county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S18_5467_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S18,,,,
2020-2022,"Diaz, Manny , Jr.",36,Republican,Consists of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S36_5343_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S36,,,,
2020-2022,"Farmer, Gary M. , Jr.",34,Democrat,Consists of part of Broward county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S34_5198_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S34,,,,
2020-2022,"Gainer, George B.",2,Republican,"Consists of Bay, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S02_5190_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S2,,,,
2020-2022,"Garcia, Ileana",37,Republican,Consists of part of Miami-Dade county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S37_5515_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S37,,,,
2020-2022,"Gibson, Audrey",6,Democrat,Consists of part of Duval county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S06_4765_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S6,,,,
2020-2022,"Gruters, Joe",23,Republican,Consists of Sarasota county and part of Charlotte county,https://www.flsenate.gov/PublishedContent/Senators/2020-2022/Photos/S23_5347_Thumbnail.jpg,https://www.flsenate.gov/Senators/2020-2022/S23,,,,
