bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0001,,H Health/Wel,01/18; Reported Printed and Referred to Health & Welfare,,,,,,"PHARMACY BOARD - Amends existing law relating to uniform controlled substances and pharmacists to provide pharmacists with the authority to prescribe certain compounds, mixtures or preparations and to provide restrictions on such authority; and to revise the definition of ""practice of pharmacy.""",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0001/,
H0002,,LAW,"Reported Signed by Governor on March 25, 2011; Session Law Chapter 133; Effective: 03/25/11",04/03/2011,17/03/2011,,"['Representative Chew', 'Senator Schmidt']",Signed,UNIFORM CONTROLLED SUBSTANCES - Amends existing law relating to uniform controlled substances to revise and remove provisions relating to a prescription for a controlled substance; and to revise and remove provisions relating to required prescriptions for scheduled drugs.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0002/,
H0003,,LAW,"Reported Signed by Governor on March 25, 2011; Session Law Chapter 134; Effective: 07/01/2011",04/03/2011,17/03/2011,,"['Representative Thayn', 'Senator Bock']",Signed,PHARMACY BOARD - Amends existing law relating to uniformed controlled substances to remove provisions relating to certain Schedule I controlled substances; and to revise provisions relating to Schedule II controlled substances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0003/,
H0004,,LAW,"Reported Signed by Governor on March 25, 2011; Session Law Chapter 135; Effective: 07/01/2011",04/03/2011,17/03/2011,,"['Representative Chew', 'Senator Nuxoll']",Signed,PHARMACISTS - Amends existing law relating to pharmacists to revise definitions; to revise provisions relating to the registration of drug outlets doing business in Idaho; and to provide correct terminology.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0004/,
H0005,,LAW,"Reported Signed by Governor on April 8, 2011; Session Law Chapter 263; Effective: 07/01/2011",17/03/2011,01/04/2011,,"['Representative Chew', 'Senator Vick']",Signed,PHARMACISTS - Repeals and adds to existing law relating to pharmacists to provide for prospective drug review and counseling in the Idaho Pharmacy Act.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0005/,
H0006,,S Loc Gov,"Introduced, read first time; referred to: Local Government & Taxation",25/01/2011,,,['Representative Barbieri'],,"PROPERTY TAX RELIEF - Amends existing law to revise the definition of income for the ""Circuit Breaker"" Property Tax Relief Program.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0006/,
H0007,,LAW,"Reported Signed by Governor on February 15, 2011; Session Law Chapter 2; Effective: 07/01/2011",24/01/2011,08/02/2011,,"['Representative Ellsworth', 'Senator McGee']",Signed,"CIGARETTE AND TOBACCO PRODUCT TAXES - Amends existing law relating to the taxation of cigarettes and tobacco products by adding the definition ""delivery seller"" to the definition of ""wholesaler"" and clarifying whether tobacco cessation products should be taxed as tobacco products.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0007/,
H0008,,LAW,"Reported Signed by Governor on February 15, 2011; Session Law Chapter 3; Effective: 01/01/11",24/01/2011,08/02/2011,,"['Representative Smith', 'Senator Corder']",Signed,INCOME TAXATION - Amends existing law relating to income taxation to allow a nonresident with additional income from a pass-through entity to forego withholding; to clarify the computation of reportable income from the sale of a publicly traded partnership; to modify the requirement of withholding from actual distributions of income to when the income is required to be reported on the taxpayer’s return; and to provide that publicly traded partnerships are not required to withhold income tax if conditions are met.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0008/,
H0009,,H Rev/Tax,01/18; Reported Printed and Referred to Revenue & Taxation,,,,,,SALES TAX - AIRCRAFT - Amends existing law to provide for treatment of aircraft used as a business asset as transient equipment for state sales tax purposes.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0009/,
H0010,,LAW,"Reported Signed by Governor on February 15, 2011; Session Law Chapter 4; Effective: 07/01/2011",24/01/2011,08/02/2011,,"['Representative Bayer', 'Senator Hammond']",Signed,MOTOR FUELS - TAXATION - Amends existing law to provide nonapplication of the statute providing for revocation or cancellation of licenses to dispense motor fuel to distributor’s licenses of motor fuel canceled for failing to comply with the bonding requirement.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2011/legislation/H0010/,
