bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0354,,H Rev/Tax,01/11; Reported Printed and Referred to Revenue & Taxation,,,,,,"SALES AND USE TAX - SERVICES - Amends, repeals and adds to existing law to place the sales and use tax on services and to decrease the rate of the sales and use tax to five percent.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0354/,
H0355,,LAW,"Reported Signed by Governor on February 6, 2012; Session Law Chapter 2; Effective: 01/01/12",2012-01-17,2012-01-27,,"['Representative Wood', 'Senator Hammond']",Signed,INTERNAL REVENUE CODE - Amends existing law to update references to the Internal Revenue Code for state income tax purposes.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0355/,
H0356,,LAW,"Reported Signed by Governor on February 8, 2012; Session Law Chapter 4; Effective: 07/01/2012",2012-01-23,2012-02-01,,"['Representative Collins', 'Senator Johnson']",Signed,PROPERTY TAX - Amends existing law to revise the approval process for applications for property tax exemptions and to provide for approval or disapproval and a procedure for appeal.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0356/,
H0357,,LAW,"Reported Signed by Governor on February 13, 2012; Session Law Chapter 9; Effective: 01/01/12",2012-01-23,2012-02-03,,"['Representative Rusche', 'Senator Hammond']",Signed,"PROPERTY TAX - Amends existing law to establish standards and methods for the valuation for the taxation of forest lands under the productivity option to apply for a ten year period, and to provide for the forest management allowance to be calculated on certain criteria.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0357/,
H0358,Amended,LAW,"Reported Signed by Governor on March 6, 2012; Session Law Chapter 38; Effective: 01/01/12",2012-02-29,2012-02-23,,"['Representative Raybould', 'Senator Corder']",Signed,PROPERTY TAX - Amends existing law to revise property tax law to authorize the county auditor to notify various political subdivisions and to provide valuation statements the third Monday of July.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0358/,
H0359,,H Rev/Tax,01/13; Reported Printed and Referred to Revenue & Taxation,,,,,,SALES AND USE TAX - Amends existing law to clarify the exemption from use tax for certain motor vehicles used by nonresident college students in this state.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0359/,
H0360,,LAW,"Reported Signed by Governor on February 8, 2012; Session Law Chapter 5; Effective: 07/01/2012",2012-01-23,2012-01-31,,"['Representative Roberts', 'Senator McKenzie']",Signed,TAX COMMISSION - Amends existing law to authorize the State Tax Commission to accept payment of taxes by means of an electronic payment processor.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0360/,
H0361,,LAW,"Reported Signed by Governor on February 8, 2012; Session Law Chapter 3; Effective: 07/01/2012",2012-01-24,2012-01-31,,"['Representative Ellsworth', 'Senator Corder']",Signed,SALES AND USE TAX - Amends existing law relating to the sales and use tax to revise provisions relating to the application of exemption for vehicles registered under the International Registration Plan.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0361/,
H0362,,LAW,"Reported Signed by Governor on February 8, 2012; Session Law Chapter 6; Effective: 07/01/12 Sections 1 & 2;; 07/01/13 Sections 3, 4 & 5",2012-01-23,2012-01-31,,"['Representative Barbieri', 'Senator McGee']",Signed,"TAXES - Amends, repeals and adds to existing law to provide for first class mailing of notices of deficiency determination and notices of levy and distraints instead of by certified mail for a one year period.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0362/,
H0363,,LAW,"Reported Signed by Governor on February 13, 2012; Session Law Chapter 10; Effective: 01/01/12",2012-01-25,2012-02-03,,"['Representative Killen', 'Senator McKenzie']",Signed,INCOME TAX - Amends existing law to provide treatment for certain passive losses for state income tax purposes incurred when a taxpayer did not conduct business in Idaho.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0363/,
H0364,,LAW,"Reported Signed by Governor on February 14, 2012; Session Law Chapter 13; Effective: 01/01/12",2012-01-25,2012-02-06,,"['Representative Lake', 'Senator McGee']",Signed,"INCOME TAX - Amends existing law to clarify the income tax deduction for retirement benefits paid to certain retired police officers and revising the definition of ""disabled.""",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0364/,
H0365,,LAW,"Reported Signed by Governor on February 14, 2012; Session Law Chapter 14; Effective: 01/01/12",2012-01-25,2012-02-07,,"['Representative Gibbs', 'Senator Siddoway']",Signed,INCOME TAX ACT - Amends existing law relating to Idaho’s Income Tax Act to clarify the deduction for net operating losses; and to clarify the adjusted basis of depreciable property.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2012/legislation/H0365/,
