bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0331,Amended,LAW,"Reported Signed by Governor on March 30, 2016; Session Law Chapter 277; Effective: 07/01/2016",2016-02-26,2016-03-22,,"['Representative Luker', 'Senator Stennett']",Signed,"ALCOHOLIC BEVERAGES - Amends existing law to define ""powdered alcohol,"" to prohibit the possession, sale, purchase and use of powdered alcohol, to revise criminal penalties and to provide for the revocation of liquor licenses held by violators.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0331/,
H0332,,LAW,"Reported Signed by Governor on March 22, 2016; Session Law Chapter 124; Effective: 07/01/2016",2016-02-01,2016-03-10,,"['Representative Perry', 'Senator Heider']",Signed,RESIDENTIAL CARE FACILITY ADMINISTRATORS - Repeals and amends existing law regarding license renewal and reinstatement.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0332/,
H0333,,LAW,"Reported Signed by Governor on March 22, 2016; Session Law Chapter 116; Effective: 07/01/2016",2016-02-01,2016-03-10,,"['Representative Redman', 'Senator Lakey']",Signed,OPTOMETRISTS - Amends existing law to revise license renewal provisions.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0333/,
H0334,,LAW,"Reported Signed by Governor on March 22, 2016; Session Law Chapter 117; Effective: 07/01/2016",2016-02-01,2016-03-10,,"['Representative Hixon', 'Senator Heider']",Signed,PHYSICAL THERAPY - Repeals and amends existing law relating to license renewal and reinstatement.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0334/,
H0335,,LAW,"Reported Signed by Governor on March 17, 2016; Session Law Chapter 70; Effective: 07/01/2016",2016-02-03,2016-03-07,,"['Representative Chew', 'Senator Martin']",Signed,CONTROLLED SUBSTANCES - Amends existing law to revise the list of Schedule II Uniform Controlled Substances.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0335/,
H0336,,LAW,"Reported Signed by Governor on March 17, 2016; Session Law Chapter 71; Effective: 07/01/2016",2016-02-03,2016-03-07,,"['Representative Chew', 'Senator Schmidt']",Signed,PHARMACY BOARD - Amends existing law to remove obsolete language; to eliminate officer term limits; and to increase board member compensation.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0336/,
H0337,,LAW,"Reported Signed by Governor on March 17, 2016; Session Law Chapter 72; Effective: 07/01/2016",2016-02-03,2016-03-07,,"['Representative Chew', 'Senator Schmidt']",Signed,PRESCRIPTIONS - Amends existing law to provide that medical examiners or coroners may access information in the prescriptions database.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0337/,
H0338,,LAW,"Reported Signed by Governor on March 17, 2016; Session Law Chapter 73; Effective: 07/01/2016",2016-02-03,2016-03-07,,"['Representative Chew', 'Senator Nuxoll']",Signed,LEGEND DRUGS - Amends existing law to clarify persons who may possess legend drugs.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0338/,
H0339,,LAW,"Reported Signed by Governor on March 17, 2016; Session Law Chapter 74; Effective: 07/01/2016",2016-02-03,2016-03-07,,"['Representative Chew', 'Senator Harris']",Signed,CONTROLLED SUBSTANCES - Amends existing law to clarify drug storage requirements.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0339/,
H0340,,LAW,"Reported Signed by Governor on March 17, 2016; Session Law Chapter 75; Effective: 07/01/2016",2016-02-04,2016-03-07,,"['Representative Wood', 'Senator Heider']",Signed,CONTRACEPTIVES AND PROPHYLACTICS - Repeals existing law relating to regulation of contraceptives and prophylactics.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0340/,
H0341,,LAW,"Reported Signed by Governor on March 17, 2016; Session Law Chapter 76; Effective: 07/01/2016",2016-02-01,2016-03-09,,"['Representative Packer', 'Senator Thayn']",Signed,"PATIENT FREEDOM OF INFORMATION ACT - Repeals, amends, and adds to existing law relating to the Patient Freedom of Information Act.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0341/,
H0342,,LAW,"Reported Signed by Governor on February 10, 2016; Session Law Chapter 5; Effective: 02/10/2016",2016-01-26,2016-02-01,,"['Representative Miller', 'Senator Bair']",Signed,"APPROPRIATIONS - DEFICIENCY WARRANTS - Appropriates and transfers $324,000 from the General Fund to the Pest Control Deficiency Fund.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0342/,
H0343,,LAW,"Reported Signed by Governor on March 23, 2016; Session Law Chapter 152; Effective: Retroactive to 07/01/2015",2016-02-26,2016-03-14,,"['Representative Palmer', 'Senator Brackett']",Signed,FUELS - Amends existing law to clarify certain revenue distribution provisions; and to provide for the distribution of revenues received from tax imposed on certain special fuels.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0343/,
H0344,,LAW,"Reported Signed by Governor on February 18, 2016; Session Law Chapter 10; Effective: 07/01/2016",2016-01-28,2016-02-08,,"['Representative Raybould', 'Senator Johnson']",Signed,PROPERTY TAX RELIEF - Amends existing law to change the filing deadline to apply for a hardship application with the Board of Equalization.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0344/,
H0345,,LAW,"Reported Signed by Governor on February 19, 2016; Session Law Chapter 16; Effective: 02/19/2016",2016-02-01,2016-02-09,,"['Representative Dayley', 'Senator Burgoyne']",Signed,FOREST LAND ASSESSMENT - Amends existing law to provide an appeals process for a taxpayer when an assessor has determined that a property no longer meets the criteria of forest land.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0345/,
H0346,,LAW,"Reported Signed by Governor on March 17, 2016; Session Law Chapter 77; Effective: 07/01/2016",2016-02-05,2016-03-07,,"['Representative Thompson', 'Senator Stennett']",Signed,ALCOHOLIC BEVERAGES - Amends existing law to update a code reference to the Idaho Income Tax Act.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0346/,
H0347,,LAW,"Reported Signed by Governor on February 18, 2016; Session Law Chapter 9; Effective: 07/01/2016",2016-02-01,2016-02-09,,"['Representative Nye', 'Senator Vick']",Signed,SALES AND USE TAX - Amends existing law to exempt certain hand tools up to $100 from the sales and use tax and to remove reference to a definition.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0347/,
H0348,,LAW,"Reported Signed by Governor on February 18, 2016; Session Law Chapter 11; Effective: 07/01/2016",2016-02-01,2016-02-09,,"['Representative Anderson', 'Senator Stennett']",Signed,SALES AND USE TAX - Amends existing law to add paddleboards and similar vessels to the list of watercraft that are taxable to nonresident purchasers.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0348/,
H0349,,LAW,"Reported Signed by Governor on February 10, 2016; Session Law Chapter 4; Effective: 02/10/2016",2016-01-26,2016-02-01,,"['Representative Burtenshaw', 'Senator Bair']",Signed,"APPROPRIATIONS - FISH AND GAME DEPARTMENT - Appropriates an additional $1,638,700 to the Department of Fish and Game for fiscal year 2016.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2016/legislation/H0349/,
