bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0388,Amended,LAW,02/27 Governor signed; Session Law Chapter 47; Effective: 07/01/02,2002-02-05,2002-02-18,,"['Representative Sali', 'Senator King-Barrutia']",Signed,COMMISSION ON AGING - Amends existing law relating to the Commission on Aging to clarify duties of the commissioners; to specify duties of the administrator and staff of the commission; and to govern appointment and salary of the administrator.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0388/,
H0389,,FAILED,03/05 Rpt out - rec d/p - to 2nd rdg;  Rls susp - FAILED - 32-35-3,2002-03-05,,,,,DENTISTRY - Amends existing law to adopt a prohibition on false representation of oneself as qualified or licensed to practice dentistry; and to provide penalties.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0389/,
H0390,,H Health/Wel,01/07 House intro - 1st rdg - to printing;  Rpt prt - to Health/Wel,,,,,,DENTISTRY - Repeals and adds to existing law to define the practice of dentistry and the practice of dental hygiene.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0390/,
H0391,,LAW,03/11 Governor signed; Session Law Chapter 69; Effective: 07/01/02,2002-01-28,2002-03-01,,"['Representative Aikele', 'Senator Wheeler', 'Senator Ipsen']",Signed,LEGEND DRUGS - Amends existing law relating to the Board of Pharmacy and legend drugs to provide a correct code citation.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0391/,
H0392,,LAW,02/19 Governor signed; Session Law Chapter 26; Effective: 07/01/02,2002-01-28,2002-02-07,,"['Representative Block', 'Senator Wheeler']",Signed,PHARMACISTS - Amends existing law relating to the Board of Pharmacy to further define terms relating to internships and preceptors.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0392/,
H0393,,LAW,03/19 Governor signed; Session Law Chapter 80; Effective: 07/01/02,2002-02-22,2002-03-14,,"['Representative Martinez', 'Senator Lodge']",Signed,"NURSING - Amends and adds to existing law to increase the maximum fee that may be imposed for licenses for practical nursing, professional nursing and advanced practice professional nursing; to provide for nurse emeritus licenses; to increase the maximum fee for license renewal; to provide for lapsed licenses and for reinstatement of licenses; and to revise the provisions and grounds for disciplinary action.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0393/,
H0394,,LAW,03/19 Governor signed; Session Law Chapter 81; Effective: 07/01/02,2002-02-22,2002-03-13,,"['Representative Henbest', 'Senator Lodge']",Signed,ACUPUNCTURE - Amends existing law to provide that the Board of Acupuncture may require continuing education as a condition of licensure; to revise requirements for licensure; and to require the direct and immediate supervision of acupuncture technicians.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0394/,
H0395,,LAW,03/19 Governor signed; Session Law Chapter 82; Effective: 07/01/02,2002-03-05,2002-03-14,,"['Representative Henbest', 'Senator Wheeler']",Signed,DENTISTRY BOARD - Amends existing law relating to the Board of Dentistry to strike obsolete language related to transition; and to provide that a member continues in office until his successor has been named.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0395/,
H0396,,H Health/Wel,01/07 House intro - 1st rdg - to printing;  Rpt prt - to Health/Wel,,,,,,"CHIROPRACTIC - Amends existing law to increase the maximum allowable fee the Board of Chiropractic Physicians may charge for license renewals, temporary practice permits and registration; and to provide for a fee for license applications and licensures by endorsement.                                                                          ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0396/,
H0397,,H Health/Wel,01/07 House intro - 1st rdg - to printing;  Rpt prt - to Health/Wel,,,,,,ACUPUNCTURE - Amends existing law to revise the certification requirements for the practice of acupuncture.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0397/,
H0398,,LAW,03/11 Governor signed; Session Law Chapter 70; Effective: 03/11/02,2002-02-11,2002-02-28,,"['Representative Jones', 'Senator Andreason']",Signed,INMATES - EDUCATION - Amends existing law to revise eligibility requirements for special education services provided to adult correctional facility inmates who are between eighteen and twenty-one years of age.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0398/,
H0399,,LAW,03/11 Governor signed; Session Law Chapter 71; Effective: 07/01/02,2002-02-11,2002-02-28,,"['Representative Higgins', 'Senator Goedde']",Signed,TEACHERS - ELEMENTARY - Amends existing law to provide that by September 2002 all kindergarten through grade eight teacher candidates from an Idaho teacher preparation program shall pass the State Board of Education's preservice assessment measure in order to qualify for an Idaho standard elementary teaching certificate.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0399/,
H0400,,LAW,02/19 Governor signed; Session Law Chapter 27; Effective: 07/01/02,2002-01-28,2002-02-07,,"['Representative Henbest', 'Senator Wheeler']",Signed,PRESCRIPTIONS - RECORDS - Amends and repeals existing law to strike the sunset clause and contingency clause relating to the exemption of prescription records from disclosure.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0400/,
H0401,,LAW,02/19 Governor signed; Session Law Chapter 28; Effective: 07/01/02,2002-01-23,2002-02-08,,"['Representative Sali', 'Senator Richardson']",Signed,PRISON TERM INCOMPLETE - OUT-OF-STATE - Amends existing law to provide that the director of the Department of Correction or the head of a facility operated by the department may apply for the requisition for the return of persons who have unsatisfied terms of imprisonment or other supervision remaining pursuant to their criminal convictions and who are absent from the state for any reason; and to provide that certified copies of judgments of conviction and sentences shall be filed with the office of the Secretary of State.                                                                          ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2002/legislation/H0401/,
