bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0001,,LAW,"Reported Signed by Governor on February 13, 2019; Session Law Chapter 16; Effective: 02/13/2019",2019-01-22,2019-02-05,,"['Representative Bedke', 'Senator Rice']",Signed,WATER - Adds to existing law to provide that the director of the Department of Water Resources shall subordinate permits and licenses for certain projects issued after a specified date to the capture and retention of water in existing on-stream storage reservoirs during and following flood control operations until the date of allocation.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0001/,
H0002,Amended,LAW,"Reported Signed by Governor on March 8, 2019; Session Law Chapter 64; Effective: 07/01/2019",2019-03-04,2019-02-25,,"['Representative Dixon', 'Senator Crabtree']",Signed,"LOGGING - Amends existing law to provide that the director of the Idaho State Police and the Idaho Transportation Board shall have authority to perform safety inspections and safety training programs, issue certain orders, and enforce certain rules if a logging truck is operating on public highways; and to provide that logging trucks are subject to certain administrative rules if transporting on public highways.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0002/,
H0003,,LAW,"Reported Signed by Governor on March 7, 2019; Session Law Chapter 57; Effective: 07/01/2019",2019-01-29,2019-02-28,,"['Representative Kingsley', 'Senator Martin']",Signed,OCCUPATIONAL LICENSING - Amends existing law to revise training and practice requirements and fees for licensure for counselors and therapists.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0003/,
H0004,,LAW,"Reported Signed by Governor on March 7, 2019; Session Law Chapter 40; Effective: 07/01/2019",2019-01-28,2019-02-28,,"['Representative Lickley', 'Senator Lakey']",Signed,OCCUPATIONAL THERAPISTS - Amends and adds to existing law to remove obsolete language; to clarify renewal and reinstatement of licensure; to provide for inactive licensure; and to revise powers regarding the adoption of certain rules.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0004/,
H0005,,LAW,"Reported Signed by Governor on March 12, 2019; Session Law Chapter 79; Effective: 07/01/2019",2019-01-28,2019-03-06,,"['Representative Green(2)', 'Senator Martin']",Signed,OCCUPATIONAL LICENSING - Amends existing law to remove provisions regarding a chiropractic peer review committee.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0005/,
H0006,,LAW,"Reported Signed by Governor on March 12, 2019; Session Law Chapter 78; Effective: 07/01/2019",2019-01-28,2019-03-06,,"['Representative Christensen', 'Senator Souza']",Signed,"OCCUPATIONAL LICENSING - Amends existing law to define ""licensed bachelor social worker"" and to update terminology accordingly.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0006/,
H0007,,LAW,"Reported Signed by Governor on March 7, 2019; Session Law Chapter 41; Effective: 07/01/2019",2019-01-28,2019-02-28,,"['Representative Blanksma', 'Senator Guthrie']",Signed,OCCUPATIONAL LICENSING - Amends existing law to clarify the age requirement for nursing home administrator licensure and to provide a time limit for administrator-in-training programs.,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0007/,
H0008,,LAW,"Reported Signed by Governor on March 7, 2019; Session Law Chapter 42; Effective: 07/01/2019;; 07/01/2024 Sunset Clause",2019-01-28,2019-02-28,,"['Representative Rubel', 'Senator Bayer']",Signed,"MIDWIFERY - Amends existing law to remove obsolete language, to update the list of formulary drugs that midwives are authorized to use, and to clarify the requirements regarding practice data required for license renewal.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0008/,
H0009,,LAW,"Reported Signed by Governor on February 19, 2019; Session Law Chapter 26; Effective: 07/01/2019",2019-01-30,2019-02-12,,"['Representative Wagoner', 'Senator Lee']",Signed,"BOARD OF MEDICINE - Amends existing law to provide for physician assistants and to revise provisions regarding licensure, registration, discipline, disability, and board composition.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0009/,
H0010,,LAW,"Reported Signed by Governor on February 14, 2019; Session Law Chapter 25; Effective: 07/01/2019;; 07/01/2021 Sunset Clause - SECTION 16",2019-01-30,2019-02-11,,"['Representative Chew', 'Senator Burtenshaw']",Signed,"PHARMACY - Amends, adds to, and repeals existing law to revise and modernize the Pharmacy Practice Act, including by providing for a multistate pharmacy license.",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/2019/legislation/H0010/,
