bill_num,amended,short_outcome,final_action,house_vote_date,senate_vote_date,leg_cosponsors,floor_sponsors,gov_action,short_desc,long_desc,topics_all,topics_coded,t1,t1_aye,t2,t2_aye,t3,t3_aye,t4,t4_aye,t5,t5_aye,bill_group,link,notes
H0409,Amended,Law,03/20 Governor signed; Session Law Chapter 250; Effective: 07/01/98,1998-03-10,1998-03-18,,"['Representative Ellsworth', 'Senator Bunderson']",Signed,CHILD SUPPORT - DELINQUENT - Amends existing law to clarify procedures and application of the statute suspending licenses for failure to pay child support obligations or to allow visitation with a minor child.  ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0409/,
H0410,,H Jud,01/12 Rpt prt - to Jud,,,,,,CHILD SUPPORT - DELINQUENT - Amends and adds to existing law to provide a lien upon real and personal property of a child support obligor who is delinquent and to provide the conditions governing the lien.  ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0410/,
H0411,,H Health/Wel,01/12 Rpt prt - to Health/Wel,,,,,,PATERNITY - Amends existing law to clarify the procedures for acknowledgment of paternity and to shorten the time within which an acknowledgment may be rescinded.  ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0411/,
H0412,,Law,03/19 Governor signed; Session Law Chapter 107; Effective: 07/01/98,1998-02-11,1998-03-16,,"['Representative Lake', 'Senator Burtenshaw']",Signed,WAGES - OVERTIME - Amends existing law to delete the provision of state minimum wage law requiring the Idaho Department of Labor to enforce overtime pay provisions.  ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0412/,
H0413,,Law,03/19 Governor signed; Session Law Chapter 108; Effective: 07/01/98,1998-02-03,1998-03-16,,"['Representative Wood', 'Senator Bunderson']",Signed,MOTOR VEHICLES - NONREDUCIBLE LOADS - Amends existing law to provide a fee schedule for certain motor vehicles or combination of vehicles hauling nonreducible loads in excess of limits provided by law.  ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0413/,
H0414,,Law,03/20 Governor signed; Session Law Chapter 249; Effective: 07/01/98,1998-03-10,1998-03-18,,"['Representative Clark', 'Senator Boatright']",Signed,"CHILD SUPPORT ORDERS - STATEWIDE REGISTRY - Amends existing law to establish a statewide registry and disbursement unit for child support orders and to allow counties to continue to provide services for orders prior to 1994, or to allow the state to assume the responsibility.  ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0414/,
H0415,,Law,03/20 Governor signed; Session Law Chapter 163; Effective: 07/01/98,1998-02-09,1998-03-17,,"['Representative Alltus', 'Senator Sandy']",Signed,ABSENTEE VOTERS - POLLING PLACES - Amends existing law to enable county clerks to establish more than one absentee polling place in the county.  ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0415/,
H0416,,H Jud,01/12 Rpt prt - to Jud,,,,,,STATE PRISONERS - COUNTY JAILS - Amends existing law to increase the per day cost for holding sentenced state prisoners in county jails and to provide for review by the legislature every three years of the costs of housing inmates in county jails.  ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0416/,
H0417,,H Jud,01/12 Rpt prt - to Jud,,,,,,COUNTY SHERIFFS - QUALIFICATIONS - Amends existing law to provide minimum qualifications to run for county sheriff.  ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0417/,
H0418,,Law,03/19 Governor signed; Session Law Chapter 109; Effective: 07/01/98,1998-02-20,1998-03-16,,"['Representative Jones(20)', 'Senator Bunderson']",Signed,"MEDICAL INDIGENCY - Amends existing law to provide that for medical indigency purposes and the medical indigency law, the term ""clerk"" shall be defined as the clerk of the board of county commissioners or his or her designee.  ",,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0418/,
H0419,,H Agric Aff,01/12 Rpt prt - to Agric Aff,,,,,,DRY GRAZING LAND FEES - Amends existing law to revise procedures on the imposition of fees upon owners of dry grazing land in Idaho.  ,,,,,,,,,,,,,,,https://legislature.idaho.gov/sessioninfo/1998/legislation/H0419/,
